S.No.,SYMBOL    ,VOL_FRZ_QTY    
1,BANKNIFTY ,900
2,FINNIFTY  ,1800
3,MIDCPNIFTY,5500
4,NIFTY     ,1800
5,AARTIIND  ,40000
6,ABB       ,7500
7,ABBOTINDIA,1200
8,ABCAPITAL ,162000
9,ABFRL     ,104000
10,ACC       ,12000
11,ADANIENT  ,12000
12,ADANIPORTS,32000
13,ALKEM     ,8000
14,AMBUJACEM ,54000
15,APOLLOHOSP,5000
16,APOLLOTYRE,68000
17,ASHOKLEY  ,150000
18,ASIANPAINT,8000
19,ASTRAL    ,14680
20,ATUL      ,3000
21,AUBANK    ,40000
22,AUROPHARMA,44000
23,AXISBANK  ,25000
24,BAJAJ-AUTO,7500
25,BAJAJFINSV,20000
26,BAJFINANCE,3750
27,BALKRISIND,12000
28,BALRAMCHIN,64000
29,BANDHANBNK,100000
30,BANKBARODA,175500
31,BATAINDIA ,15000
32,BEL       ,228000
33,BERGEPAINT,44000
34,BHARATFORG,30000
35,BHARTIARTL,28500
36,BHEL      ,315000
37,BIOCON    ,100000
38,BOSCHLTD  ,1500
39,BPCL      ,72000
40,BRITANNIA ,6000
41,BSOFT     ,80000
42,CANBK     ,81000
43,CANFINHOME,39000
44,CHAMBLFERT,76000
45,CHOLAFIN  ,37500
46,CIPLA     ,26000
47,COALINDIA ,126000
48,COFORGE   ,6000
49,COLPAL    ,14000
50,CONCOR    ,40000
51,COROMANDEL,28000
52,CROMPTON  ,72000
53,CUB       ,150000
54,CUMMINSIND,18000
55,DABUR     ,50000
56,DALBHARAT ,15000
57,DEEPAKNTR ,12000
58,DELTACORP ,112000
59,DIVISLAB  ,8000
60,DIXON     ,8000
61,DLF       ,66000
62,DRREDDY   ,5000
63,EICHERMOT ,7000
64,ESCORTS   ,11000
65,EXIDEIND  ,144000
66,FEDERALBNK,200000
67,GAIL      ,274500
68,GLENMARK  ,43500
69,GMRINFRA  ,675000
70,GNFC      ,39000
71,GODREJCP  ,30000
72,GODREJPROP,19000
73,GRANULES  ,80000
74,GRASIM    ,14250
75,GUJGASLTD ,50000
76,HAL       ,9000
77,HAVELLS   ,20000
78,HCLTECH   ,21000
79,HDFC      ,9000
80,HDFCAMC   ,12000
81,HDFCBANK  ,16500
82,HDFCLIFE  ,44000
83,HEROMOTOCO,9000
84,HINDALCO  ,56000
85,HINDCOPPER,212000
86,HINDPETRO ,108000
87,HINDUNILVR,9000
88,IBULHSGFIN,204000
89,ICICIBANK ,28000
90,ICICIGI   ,20000
91,ICICIPRULI,60000
92,IDEA      ,2400000
93,IDFC      ,300000
94,IDFCFIRSTB,450000
95,IEX       ,150000
96,IGL       ,55000
97,INDHOTEL  ,80000
98,INDIACEM  ,116000
99,INDIAMART ,4500
100,INDIGO    ,12000
101,INDUSINDBK,20000
102,INDUSTOWER,136000
103,INFY      ,16000
104,INTELLECT ,52000
105,IOC       ,292500
106,IPCALAB   ,32500
107,IRCTC     ,35000
108,ITC       ,64000
109,JINDALSTEL,37500
110,JKCEMENT  ,7500
111,JSWSTEEL  ,40500
112,JUBLFOOD  ,50000
113,KOTAKBANK ,12000
114,L&TFH     ,267720
115,LALPATHLAB,12000
116,LAURUSLABS,68000
117,LICHSGFIN ,60000
118,LT        ,12000
119,LTIM      ,6000
120,LTTS      ,6000
121,LUPIN     ,34000
122,M&M       ,21000
123,M&MFIN    ,120000
124,MANAPPURAM,180000
125,MARICO    ,48000
126,MARUTI    ,3000
127,MCDOWELL-N,28000
128,MCX       ,16000
129,METROPOLIS,20000
130,MFSL      ,32000
131,MGL       ,24000
132,MOTHERSON ,284000
133,MPHASIS   ,11000
134,MRF       ,300
135,MUTHOOTFIN,22000
136,NATIONALUM,300000
137,NAUKRI    ,6000
138,NAVINFLUOR,6000
139,NESTLEIND ,1200
140,NMDC      ,225000
141,NTPC      ,150000
142,OBEROIRLTY,28000
143,OFSS      ,8000
144,ONGC      ,154000
145,PAGEIND   ,600
146,PEL       ,30000
147,PERSISTENT,5250
148,PETRONET  ,120000
149,PFC       ,186000
150,PIDILITIND,10000
151,PIIND     ,7500
152,PNB       ,480000
153,POLYCAB   ,9000
154,POWERGRID ,108000
155,PVRINOX   ,16280
156,RAIN      ,140000
157,RAMCOCEM  ,34000
158,RBLBANK   ,150000
159,RECLTD    ,240000
160,RELIANCE  ,10000
161,SAIL      ,320000
162,SBICARD   ,32000
163,SBILIFE   ,22500
164,SBIN      ,45000
165,SHREECEM  ,1000
166,SHRIRAMFIN,18000
167,SIEMENS   ,8250
168,SRF       ,11250
169,SUNPHARMA ,28000
170,SUNTV     ,60000
171,SYNGENE   ,40000
172,TATACHEM  ,22000
173,TATACOMM  ,20000
174,TATACONSUM,36000
175,TATAMOTORS,57000
176,TATAPOWER ,101250
177,TATASTEEL ,220000
178,TCS       ,7000
179,TECHM     ,24000
180,TITAN     ,11250
181,TORNTPHARM,15000
182,TRENT     ,16000
183,TVSMOTOR  ,21000
184,UBL       ,16000
185,ULTRACEMCO,3000
186,UPL       ,39000
187,VEDL      ,80000
188,VOLTAS    ,24000
189,WHIRLPOOL ,16000
190,WIPRO     ,60000
191,ZEEL      ,120000
192,ZYDUSLIFE ,54000
